AGS;GEMEINDE;STT;STADTTEIL;STADTVIERTEL;Stand_Einwohner;EINW_HW_GESAMT;EINW_HW_FRAUEN;EINW_HW_DEUTSCH;EINW_HW_NICHTDEUTSCH;EINW_HW_unter18;EINW_HW_18_bis_unter_30;EINW_HW_30_bis_unter_40;EINW_HW_40_bis_unter_50;EINW_HW_50_bis_unter_60;EINW_HW_60_und_aelter;Haushalte
8335043;Konstanz;"""030""";Petershausen-West;"""0304""";31.12.2023;3540;1781;2636;904;482;1112;564;363;342;677;2190
8335043;Konstanz;"""030""";Petershausen-West;"""0305""";31.12.2023;1874;982;1569;305;315;390;242;208;260;459;1036
8335043;Konstanz;"""030""";Petershausen-West;"""0306""";31.12.2023;1968;1042;1630;338;226;535;320;204;235;448;1228
8335043;Konstanz;"""030""";Petershausen-West;"""030""";31.12.2023;16175;8323;12552;3623;2267;4492;2701;1688;1805;3222;9611
8335043;Konstanz;"""035""";Petershausen-Ost;"""0351""";31.12.2023;2261;1277;1678;583;333;549;345;227;219;588;1357
8335043;Konstanz;"""035""";Petershausen-Ost;"""0352""";31.12.2023;1374;737;1228;146;184;201;163;140;169;517;784
8335043;Konstanz;"""035""";Petershausen-Ost;"""0353""";31.12.2023;1262;675;1128;134;155;195;168;109;165;470;754
8335043;Konstanz;"""035""";Petershausen-Ost;"""0354""";31.12.2023;1129;642;1031;98;103;87;67;65;151;656;663
8335043;Konstanz;"""035""";Petershausen-Ost;"""0355""";31.12.2023;1306;668;1196;110;195;230;155;113;204;409;714
8335043;Konstanz;"""035""";Petershausen-Ost;"""035""";31.12.2023;7332;3999;6261;1071;970;1262;898;654;908;2640;4272
8335043;Konstanz;"""040""";Koenigsbau;"""0401""";31.12.2023;1273;649;1032;241;126;407;141;110;159;330;789
8335043;Konstanz;"""040""";Koenigsbau;"""0402""";31.12.2023;1846;990;1357;489;451;271;289;221;237;377;850
8335043;Konstanz;"""040""";Koenigsbau;"""0403""";31.12.2023;2549;1353;1996;553;310;1277;231;193;162;376;1402
8335043;Konstanz;"""040""";Koenigsbau;"""0404""";31.12.2023;922;480;794;128;168;163;118;116;119;238;477
8335043;Konstanz;"""040""";Koenigsbau;"""040""";31.12.2023;6590;3472;5179;1411;1055;2118;779;640;677;1321;3518
8335043;Konstanz;"""050""";Allmannsdorf;"""0501""";31.12.2023;1672;902;1521;151;241;266;158;181;251;575;931
8335043;Konstanz;"""050""";Allmannsdorf;"""0502""";31.12.2023;1344;718;1129;215;204;234;183;140;198;385;732
8335043;Konstanz;"""050""";Allmannsdorf;"""0503""";31.12.2023;2400;1282;2125;275;264;561;271;205;325;774;1443
8335043;Konstanz;"""050""";Allmannsdorf;"""050""";31.12.2023;5416;2902;4775;641;709;1061;612;526;774;1734;3106
8335043;Konstanz;"""060""";Staad;"""0601""";31.12.2023;1019;537;934;85;127;133;112;112;152;383;587
8335043;Konstanz;"""060""";Staad;"""0602""";31.12.2023;795;423;709;86;130;119;90;98;108;250;423
8335043;Konstanz;"""060""";Staad;"""060""";31.12.2023;1814;960;1643;171;257;252;202;210;260;633;1010
8335043;Konstanz;"""070""";Fuerstenberg;"""0701""";31.12.2023;4441;2295;3473;968;611;1330;581;431;501;987;2616
8335043;Konstanz;"""070""";Fuerstenberg;"""0702""";31.12.2023;3291;1700;2716;575;453;634;507;342;399;956;1873
8335043;Konstanz;"""070""";Fuerstenberg;"""0703""";31.12.2023;2167;1138;1859;308;342;388;269;248;261;659;1177
8335043;Konstanz;"""070""";Fuerstenberg;"""0704""";31.12.2023;2591;1339;1861;730;357;549;414;294;344;633;1535
8335043;Konstanz;"""070""";Fuerstenberg;"""070""";31.12.2023;12490;6472;9909;2581;1763;2901;1771;1315;1505;3235;7201
8335043;Konstanz;"""080""";Wollmatingen;"""0801""";31.12.2023;2672;1400;2023;649;573;418;367;324;382;608;1362
8335043;Konstanz;"""080""";Wollmatingen;"""0802""";31.12.2023;2174;1110;1895;279;403;428;259;270;351;463;1047
8335043;Konstanz;"""080""";Wollmatingen;"""0803""";31.12.2023;1897;988;1667;230;278;347;237;204;325;506;1012
8335043;Konstanz;"""080""";Wollmatingen;"""080""";31.12.2023;6743;3498;5585;1158;1254;1193;863;798;1058;1577;3421
8335043;Konstanz;"""090""";Industriegebiet;"""0901""";31.12.2023;777;342;479;298;134;160;117;92;115;159;383
8335043;Konstanz;"""090""";Industriegebiet;"""0902""";31.12.2023;129;61;67;62;15;27;17;16;26;28;83
8335043;Konstanz;"""090""";Industriegebiet;"""0903""";31.12.2023;309;99;53;256;90;97;50;16;29;27;124
8335043;Konstanz;"""090""";Industriegebiet;"""090""";31.12.2023;1215;502;599;616;239;284;184;124;170;214;590
8335043;Konstanz;"""100""";Egg;"""1001""";31.12.2023;805;410;695;110;174;141;68;116;112;194;380
8335043;Konstanz;"""100""";Egg;"""100""";31.12.2023;805;410;695;110;174;141;68;116;112;194;380
8335043;Konstanz;"""110""";Litzelstetten;"""1101""";31.12.2023;1734;901;1565;169;251;272;169;168;277;597;934
8335043;Konstanz;"""110""";Litzelstetten;"""1102""";31.12.2023;2038;1096;1819;219;272;277;215;210;291;773;1132
8335043;Konstanz;"""110""";Litzelstetten;"""1103""";31.12.2023;46;13;8;38;5;8;11;7;11;4;28
8335043;Konstanz;"""110""";Litzelstetten;"""110""";31.12.2023;3818;2010;3392;426;528;557;395;385;579;1374;2094
8335043;Konstanz;"""120""";Dingelsdorf;"""1201""";31.12.2023;1779;895;1637;142;272;225;209;168;274;631;918
8335043;Konstanz;"""120""";Dingelsdorf;"""1202""";31.12.2023;299;153;263;36;33;40;28;27;43;128;149
8335043;Konstanz;"""120""";Dingelsdorf;"""120""";31.12.2023;2078;1048;1900;178;305;265;237;195;317;759;1067
8335043;Konstanz;"""130""";Dettingen;"""1301""";31.12.2023;1595;805;1387;208;311;202;157;229;199;497;768
8335043;Konstanz;"""130""";Dettingen;"""1302""";31.12.2023;1825;958;1632;193;326;219;215;212;274;579;916
8335043;Konstanz;"""130""";Dettingen;"""130""";31.12.2023;3420;1763;3019;401;637;421;372;441;473;1076;1684
8335043;Konstanz;"""140""";Wallhausen;"""1401""";31.12.2023;1130;587;972;158;165;148;134;142;168;373;647
8335043;Konstanz;"""140""";Wallhausen;"""140""";31.12.2023;1130;587;972;158;165;148;134;142;168;373;647
8335043;Konstanz;.;Stadt Konstanz;.;31.12.2023;87360;45585;71952;15408;12609;19876;11939;9251;10999;22686;49840
8335043;Konstanz;"""010""";Altstadt;"""0101""";31.12.2022;1.266;654;1.001;265;138;383;209;154;159;223;849
8335043;Konstanz;"""010""";Altstadt;"""0102""";31.12.2022;1.742;911;1.400;342;246;410;285;222;207;372;1.060
8335043;Konstanz;"""010""";Altstadt;"""0103""";31.12.2022;2.918;1.496;2.462;456;434;555;484;335;401;709;1.719
8335043;Konstanz;"""010""";Altstadt;"""0104""";31.12.2022;2.142;1.180;1.909;233;302;464;274;254;303;545;1.283
8335043;Konstanz;"""010""";Altstadt;"""0105""";31.12.2022;1.423;748;1.234;189;229;325;234;197;185;253;798
8335043;Konstanz;"""010""";Altstadt;"""0106""";31.12.2022;1.146;584;955;191;110;298;239;117;124;258;791
8335043;Konstanz;"""010""";Altstadt;"""0107""";31.12.2022;1.492;788;1.230;262;168;391;231;164;161;377;975
8335043;Konstanz;"""010""";Altstadt;"""010""";31.12.2022;12.129;6.361;10.191;1.938;1.627;2.826;1.956;1.443;1.540;2.737;7.475
8335043;Konstanz;"""020""";Paradies;"""0201""";31.12.2022;2.734;1.459;2.412;322;358;468;396;274;419;819;1.643
8335043;Konstanz;"""020""";Paradies;"""0202""";31.12.2022;1.673;963;1.436;237;193;338;233;155;218;536;1.052
8335043;Konstanz;"""020""";Paradies;"""0203""";31.12.2022;1.203;530;839;364;57;1.055;44;28;10;9;701
8335043;Konstanz;"""020""";Paradies;"""0204""";31.12.2022;592;315;560;32;85;110;75;56;111;155;322
8335043;Konstanz;"""020""";Paradies;"""020""";31.12.2022;6.202;3.267;5.247;955;693;1.971;748;513;758;1.519;3.718
8335043;Konstanz;"""030""";Petershausen-West;"""0301""";31.12.2022;1.053;532;771;282;152;285;186;120;124;186;630
8335043;Konstanz;"""030""";Petershausen-West;"""0302""";31.12.2022;1.681;865;1.130;551;269;428;245;193;198;348;884
8335043;Konstanz;"""030""";Petershausen-West;"""0303""";31.12.2022;6.150;3.169;4.860;1.290;867;1.772;1.144;635;646;1.086;3.576
8335043;Konstanz;"""030""";Petershausen-West;"""0304""";31.12.2022;3.581;1.766;2.659;922;494;1.091;600;356;367;673;2.200
8335043;Konstanz;"""030""";Petershausen-West;"""0305""";31.12.2022;1.866;982;1.559;307;304;400;248;195;261;458;1.028
8335043;Konstanz;"""030""";Petershausen-West;"""0306""";31.12.2022;1.978;1.049;1.626;352;219;559;316;208;236;440;1.225
8335043;Konstanz;"""030""";Petershausen-West;"""030""";31.12.2022;16.309;8.363;12.605;3.704;2.305;4.535;2.739;1.707;1.832;3.191;9.543
8335043;Konstanz;"""035""";Petershausen-Ost;"""0351""";31.12.2022;2.177;1.221;1.660;517;323;548;311;226;220;549;1.273
8335043;Konstanz;"""035""";Petershausen-Ost;"""0352""";31.12.2022;1.367;735;1.227;140;190;204;159;133;184;497;775
8335043;Konstanz;"""035""";Petershausen-Ost;"""0353""";31.12.2022;1.276;678;1.148;128;161;204;165;99;187;460;760
8335043;Konstanz;"""035""";Petershausen-Ost;"""0354""";31.12.2022;1.148;662;1.042;106;110;88;67;79;150;654;635
8335043;Konstanz;"""035""";Petershausen-Ost;"""0355""";31.12.2022;1.299;675;1.190;109;201;224;127;137;215;395;707
8335043;Konstanz;"""035""";Petershausen-Ost;"""035""";31.12.2022;7.267;3.971;6.267;1.000;985;1.268;829;674;956;2.555;4.150
8335043;Konstanz;"""040""";Koenigsbau;"""0401""";31.12.2022;1.297;662;1.047;250;145;418;139;115;161;319;777
8335043;Konstanz;"""040""";Koenigsbau;"""0402""";31.12.2022;1.860;994;1.364;496;468;271;292;232;219;378;833
8335043;Konstanz;"""040""";Koenigsbau;"""0403""";31.12.2022;2.577;1.333;2.006;571;319;1.267;245;201;173;372;1.396
8335043;Konstanz;"""040""";Koenigsbau;"""0404""";31.12.2022;935;485;808;127;178;170;114;108;131;234;480
8335043;Konstanz;"""040""";Koenigsbau;"""040""";31.12.2022;6.669;3.474;5.225;1.444;1.110;2.126;790;656;684;1.303;3.486
8335043;Konstanz;"""050""";Allmannsdorf;"""0501""";31.12.2022;1.686;927;1.524;162;252;268;182;164;265;555;932
8335043;Konstanz;"""050""";Allmannsdorf;"""0502""";31.12.2022;1.348;714;1.135;213;202;242;184;143;205;372;734
8335043;Konstanz;"""050""";Allmannsdorf;"""0503""";31.12.2022;2.387;1.277;2.121;266;275;559;251;199;347;756;1.412
8335043;Konstanz;"""050""";Allmannsdorf;"""050""";31.12.2022;5.421;2.918;4.780;641;729;1.069;617;506;817;1.683;3.078
8335043;Konstanz;"""060""";Staad;"""0601""";31.12.2022;1.028;547;927;101;129;150;98;112;159;380;592
8335043;Konstanz;"""060""";Staad;"""0602""";31.12.2022;818;444;707;111;138;122;95;108;106;249;428
8335043;Konstanz;"""060""";Staad;"""060""";31.12.2022;1.846;991;1.634;212;267;272;193;220;265;629;1.020
8335043;Konstanz;"""070""";Fuerstenberg;"""0701""";31.12.2022;4.399;2.268;3.485;914;602;1.306;577;425;521;968;2.584
8335043;Konstanz;"""070""";Fuerstenberg;"""0702""";31.12.2022;3.280;1.683;2.716;564;446;666;486;317;413;952;1.848
8335043;Konstanz;"""070""";Fuerstenberg;"""0703""";31.12.2022;2.197;1.140;1.888;309;357;383;292;240;286;639;1.187
8335043;Konstanz;"""070""";Fuerstenberg;"""0704""";31.12.2022;2.589;1.343;1.869;720;339;577;407;293;345;628;1.530
8335043;Konstanz;"""070""";Fuerstenberg;"""070""";31.12.2022;12.465;6.434;9.958;2.507;1.744;2.932;1.762;1.275;1.565;3.187;7.149
8335043;Konstanz;"""080""";Wollmatingen;"""0801""";31.12.2022;2.689;1.421;2.025;664;578;426;376;325;396;588;1.342
8335043;Konstanz;"""080""";Wollmatingen;"""0802""";31.12.2022;2.114;1.078;1.862;252;397;407;241;267;357;445;1.023
8335043;Konstanz;"""080""";Wollmatingen;"""0803""";31.12.2022;1.842;967;1.628;214;271;332;227;190;337;485;967
8335043;Konstanz;"""080""";Wollmatingen;"""080""";31.12.2022;6.645;3.466;5.515;1.130;1.246;1.165;844;782;1.090;1.518;3.332
8335043;Konstanz;"""090""";Industriegebiet;"""0901""";31.12.2022;800;357;498;302;129;175;120;87;121;168;390
8335043;Konstanz;"""090""";Industriegebiet;"""0902""";31.12.2022;126;60;68;58;14;25;20;19;23;25;76
8335043;Konstanz;"""090""";Industriegebiet;"""0903""";31.12.2022;176;70;54;122;35;36;34;13;34;24;81
8335043;Konstanz;"""090""";Industriegebiet;"""090""";31.12.2022;1.102;487;620;482;178;236;174;119;178;217;547
8335043;Konstanz;"""100""";Egg;"""1001""";31.12.2022;833;426;732;101;192;140;82;110;118;191;381
8335043;Konstanz;"""100""";Egg;"""100""";31.12.2022;833;426;732;101;192;140;82;110;118;191;381
8335043;Konstanz;"""110""";Litzelstetten;"""1101""";31.12.2022;1.760;929;1.563;197;256;276;177;175;291;585;945
8335043;Konstanz;"""110""";Litzelstetten;"""1102""";31.12.2022;2.016;1.094;1.788;228;274;250;215;213;308;756;1.118
8335043;Konstanz;"""110""";Litzelstetten;"""1103""";31.12.2022;44;14;7;37;3;9;11;7;10;4;25
8335043;Konstanz;"""110""";Litzelstetten;"""110""";31.12.2022;3.820;2.037;3.358;462;533;535;403;395;609;1.345;2.088
8335043;Konstanz;"""120""";Dingelsdorf;"""1201""";31.12.2022;1.770;889;1.626;144;282;226;214;163;292;593;906
8335043;Konstanz;"""120""";Dingelsdorf;"""1202""";31.12.2022;305;153;266;39;34;41;27;28;44;131;153
8335043;Konstanz;"""120""";Dingelsdorf;"""120""";31.12.2022;2.075;1.042;1.892;183;316;267;241;191;336;724;1.059
8335043;Konstanz;"""130""";Dettingen;"""1301""";31.12.2022;1.603;826;1.404;199;318;201;162;225;204;493;760
8335043;Konstanz;"""130""";Dettingen;"""1302""";31.12.2022;1.819;952;1.629;190;312;227;224;194;279;583;921
8335043;Konstanz;"""130""";Dettingen;"""130""";31.12.2022;3.422;1.778;3.033;389;630;428;386;419;483;1.076;1.681
8335043;Konstanz;"""140""";Wallhausen;"""1401""";31.12.2022;1.150;597;991;159;167;151;134;143;182;373;657
8335043;Konstanz;"""140""";Wallhausen;"""140""";31.12.2022;1.150;597;991;159;167;151;134;143;182;373;657
8335043;Konstanz;.;Stadt Konstanz;.;31.12.2022;87.355;45.612;72.048;15.307;12.722;19.921;11.898;9.153;11.413;22.248;49.364
8335043;Konstanz;"""010""";Altstadt;"""0101""";31.12.2021;1263;648;995;268;129;381;215;154;156;228;859
8335043;Konstanz;"""010""";Altstadt;"""0102""";31.12.2021;1735;887;1400;335;254;398;275;222;208;378;1045
8335043;Konstanz;"""010""";Altstadt;"""0103""";31.12.2021;2861;1487;2513;348;422;549;466;324;404;696;1694
8335043;Konstanz;"""010""";Altstadt;"""0104""";31.12.2021;2145;1184;1922;223;309;458;279;251;309;539;1300
8335043;Konstanz;"""010""";Altstadt;"""0105""";31.12.2021;1327;701;1180;147;202;303;214;182;192;234;774
8335043;Konstanz;"""010""";Altstadt;"""0106""";31.12.2021;1155;592;972;183;111;295;245;122;135;247;787
8335043;Konstanz;"""010""";Altstadt;"""0107""";31.12.2021;1466;774;1227;239;167;366;228;173;167;365;969
8335043;Konstanz;"""010""";Altstadt;"""010""";31.12.2021;11952;6273;10209;1743;1594;2750;1922;1428;1571;2687;7428
8335043;Konstanz;"""020""";Paradies;"""0201""";31.12.2021;2734;1457;2438;296;346;463;409;283;417;816;1660
8335043;Konstanz;"""020""";Paradies;"""0202""";31.12.2021;1644;950;1447;197;192;340;221;163;209;519;1039
8335043;Konstanz;"""020""";Paradies;"""0203""";31.12.2021;1043;463;808;235;10;990;31;7;5;0;637
8335043;Konstanz;"""020""";Paradies;"""0204""";31.12.2021;588;303;560;28;87;110;67;61;113;150;320
8335043;Konstanz;"""020""";Paradies;"""020""";31.12.2021;6009;3173;5253;756;635;1903;728;514;744;1485;3656
8335043;Konstanz;"""030""";Petershausen-West;"""0301""";31.12.2021;1035;529;767;268;140;285;179;110;125;196;615
8335043;Konstanz;"""030""";Petershausen-West;"""0302""";31.12.2021;1654;830;1156;498;243;449;241;173;201;347;879
8335043;Konstanz;"""030""";Petershausen-West;"""0303""";31.12.2021;6154;3171;4922;1232;842;1874;1118;616;670;1034;3605
8335043;Konstanz;"""030""";Petershausen-West;"""0304""";31.12.2021;3486;1740;2618;868;448;1094;577;324;372;671;2172
8335043;Konstanz;"""030""";Petershausen-West;"""0305""";31.12.2021;1785;936;1503;282;288;384;221;184;263;445;995
8335043;Konstanz;"""030""";Petershausen-West;"""0306""";31.12.2021;1968;1043;1628;340;219;567;304;206;246;426;1214
8335043;Konstanz;"""030""";Petershausen-West;"""030""";31.12.2021;16082;8249;12594;3488;2180;4653;2640;1613;1877;3119;9480
8335043;Konstanz;"""035""";Petershausen-Ost;"""0351""";31.12.2021;2087;1183;1651;436;285;536;271;213;241;541;1234
8335043;Konstanz;"""035""";Petershausen-Ost;"""0352""";31.12.2021;1414;760;1268;146;199;214;185;132;186;498;807
8335043;Konstanz;"""035""";Petershausen-Ost;"""0353""";31.12.2021;1266;667;1143;123;160;209;152;99;197;449;747
8335043;Konstanz;"""035""";Petershausen-Ost;"""0354""";31.12.2021;1151;660;1056;95;112;76;61;94;142;666;631
8335043;Konstanz;"""035""";Petershausen-Ost;"""0355""";31.12.2021;1327;679;1232;95;200;250;131;134;210;402;715
8335043;Konstanz;"""035""";Petershausen-Ost;"""035""";31.12.2021;7245;3949;6350;895;956;1285;800;672;976;2556;4134
8335043;Konstanz;"""040""";Koenigsbau;"""0401""";31.12.2021;1241;636;1036;205;123;398;136;100;161;323;752
8335043;Konstanz;"""040""";Koenigsbau;"""0402""";31.12.2021;1846;994;1355;491;469;267;293;229;218;370;840
8335043;Konstanz;"""040""";Koenigsbau;"""0403""";31.12.2021;2525;1279;2021;504;338;1201;252;200;166;368;1330
8335043;Konstanz;"""040""";Koenigsbau;"""0404""";31.12.2021;895;470;780;115;172;159;110;104;126;224;454
8335043;Konstanz;"""040""";Koenigsbau;"""040""";31.12.2021;6507;3379;5192;1315;1102;2025;791;633;671;1285;3376
8335043;Konstanz;"""050""";Allmannsdorf;"""0501""";31.12.2021;1668;911;1512;156;250;251;189;163;279;536;914
8335043;Konstanz;"""050""";Allmannsdorf;"""0502""";31.12.2021;1354;726;1173;181;201;265;165;140;207;376;738
8335043;Konstanz;"""050""";Allmannsdorf;"""0503""";31.12.2021;2306;1238;2086;220;275;519;263;198;336;715;1339
8335043;Konstanz;"""050""";Allmannsdorf;"""050""";31.12.2021;5328;2875;4771;557;726;1035;617;501;822;1627;2991
8335043;Konstanz;"""060""";Staad;"""0601""";31.12.2021;1022;548;931;91;124;147;95;111;162;383;586
8335043;Konstanz;"""060""";Staad;"""0602""";31.12.2021;794;427;704;90;125;110;95;102;102;260;424
8335043;Konstanz;"""060""";Staad;"""060""";31.12.2021;1816;975;1635;181;249;257;190;213;264;643;1010
8335043;Konstanz;"""070""";Fuerstenberg;"""0701""";31.12.2021;4389;2277;3519;870;605;1322;573;408;549;932;2543
8335043;Konstanz;"""070""";Fuerstenberg;"""0702""";31.12.2021;3192;1632;2673;519;408;667;448;304;426;939;1799
8335043;Konstanz;"""070""";Fuerstenberg;"""0703""";31.12.2021;2229;1146;1919;310;357;415;285;234;305;633;1194
8335043;Konstanz;"""070""";Fuerstenberg;"""0704""";31.12.2021;2572;1340;1875;697;341;581;392;282;357;619;1532
8335043;Konstanz;"""070""";Fuerstenberg;"""070""";31.12.2021;12382;6395;9986;2396;1711;2985;1698;1228;1637;3123;7068
8335043;Konstanz;"""080""";Wollmatingen;"""0801""";31.12.2021;2691;1428;2047;644;568;435;383;308;404;593;1338
8335043;Konstanz;"""080""";Wollmatingen;"""0802""";31.12.2021;2142;1076;1889;253;414;397;250;283;365;433;1034
8335043;Konstanz;"""080""";Wollmatingen;"""0803""";31.12.2021;1834;962;1627;207;277;335;210;198;340;474;970
8335043;Konstanz;"""080""";Wollmatingen;"""080""";31.12.2021;6667;3466;5563;1104;1259;1167;843;789;1109;1500;3342
8335043;Konstanz;"""090""";Industriegebiet;"""0901""";31.12.2021;769;345;496;273;130;172;104;80;122;161;368
8335043;Konstanz;"""090""";Industriegebiet;"""0902""";31.12.2021;110;50;71;39;11;21;15;18;25;20;66
8335043;Konstanz;"""090""";Industriegebiet;"""0903""";31.12.2021;123;48;53;70;21;23;22;10;29;18;66
8335043;Konstanz;"""090""";Industriegebiet;"""090""";31.12.2021;1002;443;620;382;162;216;141;108;176;199;500
8335043;Konstanz;"""100""";Egg;"""1001""";31.12.2021;805;411;714;91;179;135;82;112;120;177;363
8335043;Konstanz;"""100""";Egg;"""100""";31.12.2021;805;411;714;91;179;135;82;112;120;177;363
8335043;Konstanz;"""110""";Litzelstetten;"""1101""";31.12.2021;1779;926;1615;164;267;262;189;189;305;567;946
8335043;Konstanz;"""110""";Litzelstetten;"""1102""";31.12.2021;1970;1052;1783;187;260;248;202;197;327;736;1096
8335043;Konstanz;"""110""";Litzelstetten;"""1103""";31.12.2021;36;11;5;31;2;6;10;4;10;4;22
8335043;Konstanz;"""110""";Litzelstetten;"""110""";31.12.2021;3785;1989;3403;382;529;516;401;390;642;1307;2064
8335043;Konstanz;"""120""";Dingelsdorf;"""1201""";31.12.2021;1750;892;1615;135;272;221;219;161;303;574;897
8335043;Konstanz;"""120""";Dingelsdorf;"""1202""";31.12.2021;306;152;268;38;40;40;20;34;49;123;154
8335043;Konstanz;"""120""";Dingelsdorf;"""120""";31.12.2021;2056;1044;1883;173;312;261;239;195;352;697;1051
8335043;Konstanz;"""130""";Dettingen;"""1301""";31.12.2021;1629;834;1429;200;324;210;189;214;211;481;768
8335043;Konstanz;"""130""";Dettingen;"""1302""";31.12.2021;1770;913;1606;164;275;232;204;194;281;584;905
8335043;Konstanz;"""130""";Dettingen;"""130""";31.12.2021;3399;1747;3035;364;599;442;393;408;492;1065;1673
8335043;Konstanz;"""140""";Wallhausen;"""1401""";31.12.2021;1129;590;965;164;146;171;147;124;193;348;647
8335043;Konstanz;"""140""";Wallhausen;"""140""";31.12.2021;1129;590;965;164;146;171;147;124;193;348;647
8335043;Konstanz;.;Stadt Konstanz;.;31.12.2021;86164;44958;72173;13991;12339;19801;11632;8928;11646;21818;48783
8335043;Konstanz;"""010""";Altstadt;"""0101""";31.12.2020;1287;649;998;289;138;383;239;147;158;222;863
8335043;Konstanz;"""010""";Altstadt;"""0102""";31.12.2020;1739;880;1401;338;269;402;286;211;209;362;1055
8335043;Konstanz;"""010""";Altstadt;"""0103""";31.12.2020;2887;1501;2554;333;411;598;462;314;407;695;1686
8335043;Konstanz;"""010""";Altstadt;"""0104""";31.12.2020;2169;1201;1935;234;309;451;285;261;315;548;1302
8335043;Konstanz;"""010""";Altstadt;"""0105""";31.12.2020;1317;705;1190;127;213;290;229;165;188;232;750
8335043;Konstanz;"""010""";Altstadt;"""0106""";31.12.2020;1184;607;999;185;114;328;238;116;142;246;799
8335043;Konstanz;"""010""";Altstadt;"""0107""";31.12.2020;1497;778;1257;240;176;373;258;153;180;357;994
8335043;Konstanz;"""010""";Altstadt;"""010""";31.12.2020;12080;6321;10334;1746;1630;2825;1997;1367;1599;2662;7449
8335043;Konstanz;"""020""";Paradies;"""0201""";31.12.2020;2772;1488;2478;294;365;470;412;297;436;792;1657
8335043;Konstanz;"""020""";Paradies;"""0202""";31.12.2020;1627;944;1449;178;189;322;229;166;222;499;1028
8335043;Konstanz;"""020""";Paradies;"""0203""";31.12.2020;997;429;793;204;8;949;32;4;4;0;612
8335043;Konstanz;"""020""";Paradies;"""0204""";31.12.2020;598;304;571;27;93;114;65;65;115;146;321
8335043;Konstanz;"""020""";Paradies;"""020""";31.12.2020;5994;3165;5291;703;655;1855;738;532;777;1437;3618
8335043;Konstanz;"""030""";Petershausen-West;"""0301""";31.12.2020;1022;520;771;251;146;286;165;100;122;203;609
8335043;Konstanz;"""030""";Petershausen-West;"""0302""";31.12.2020;1639;812;1149;490;256;425;244;170;212;332;870
8335043;Konstanz;"""030""";Petershausen-West;"""0303""";31.12.2020;6053;3102;4832;1221;831;1848;1092;609;683;990;3552
8335043;Konstanz;"""030""";Petershausen-West;"""0304""";31.12.2020;3394;1700;2602;792;400;1065;561;302;395;671;2137
8335043;Konstanz;"""030""";Petershausen-West;"""0305""";31.12.2020;1730;898;1471;259;264;376;207;178;267;438;966
8335043;Konstanz;"""030""";Petershausen-West;"""0306""";31.12.2020;1982;1055;1648;334;223;581;282;226;258;412;1213
8335043;Konstanz;"""030""";Petershausen-West;"""030""";31.12.2020;15820;8087;12473;3347;2120;4581;2551;1585;1937;3046;9347
8335043;Konstanz;"""035""";Petershausen-Ost;"""0351""";31.12.2020;2136;1202;1681;455;298;545;283;212;246;552;1259
8335043;Konstanz;"""035""";Petershausen-Ost;"""0352""";31.12.2020;1388;760;1230;158;199;215;173;118;193;490;796
8335043;Konstanz;"""035""";Petershausen-Ost;"""0353""";31.12.2020;1283;675;1163;120;176;205;147;113;206;436;748
